english_name,arabic_name 
Marsa Matrouh-Marsa Matrouh, مرسى مطروح  - مرسي مطروح 
Marsa Matrouh- the toilet,  الحمام- مرسي مطروح 
Marsa Matrouh- Hyena,  الضبعة- مرسي مطروح 
Marsa Matrouh- Siwa,  سيوة- مرسي مطروح 
Marsa Matrouh- Sir Prani,  سيدي براني- مرسي مطروح 
Marsa Matrouh- El Alamein,  العلمين- مرسي مطروح 
Marsa Matrouh- The son,  النجلية- مرسي مطروح 
Marsa Matrouh- Salloum,  السلوم- مرسي مطروح 
Behira-Rashid, رشيد- البحيرة
Behira- Abu Homs,  أبو حمص- البحيرة
Behira- Adulteration,  الدلنجات- البحيرة
Behira- Damanhur,  دمنهور- البحيرة
Behira- Idku,  إدكو- البحيرة
Behira- Kafr Al Dawwar,  كفر الدوار- البحيرة
Behira- And Abu Al Matamir,  أبو المطامير- البحيرة
Behira- And Mahmoudism,  والمحمودية- البحيرة
Alexandria-Burj Al Arab, برج العرب- الإسكندرية
Alexandria- Alexandria,  الإسكندرية- الإسكندرية
Alexandria- New Burj Al Arab,  برج العرب الجديدة- الإسكندرية
Qaliubiya-Charitable archways, القناطر الخيرية- القليوبية
Qaliubiya- And hearts,  قليوب- القليوبية
Qaliubiya- Wicker,  الخوص- القليوبية
Qaliubiya- And thankfulness,  كفر شكر- القليوبية
Qaliubiya- And transit,  العبور- القليوبية
Qaliubiya- And Benha,  بنها- القليوبية
Qaliubiya- And Khanka,  خانكة- القليوبية
Qaliubiya- Shubra Al-Khaimah,  شبرا الخيمة- القليوبية
Qaliubiya- Stop it,  قها- القليوبية
Qaliubiya- And slander,  طوخ- القليوبية
Qaliubiya- And the arches,  القناطر- القليوبية
Giza-Giza, الجيزة- الجيزة
Giza- sheikh Zayed,  الشيخ زايد- الجيزة
Giza- And Hawamdiya,  الحوامدية- الجيزة
Giza- And the sixth of October,  السادس من أكتوبر- الجيزة
Giza- And Al Badrashin,  البدرشين- الجيزة
Giza- And Bawiti,  الباويطي- الجيزة
Giza- And as a cardinals,  كرادسة- الجيزة
Giza- Al-Qanater facility,  منشأة القناطر- الجيزة
Giza- Wasim,  أوسيم- الجيزة
Giza- And class,  الصف- الجيزة
Giza- And toppled out,  أطفيح- الجيزة
Giza- Al-Ayat,  والعيّاط- الجيزة
Giza- And Abu Nomros,  أبو النمرس- الجيزة
Cairo-, - القاهرة
Port Said-Port Fouad, بور فؤاد - بورسعيد
Port Said-Port Said, بور سعيد- بورسعيد
Eastern-Tenth of Ramadan, العاشر من رمضان- الشرقية
Eastern- And lamb,  فاقوس- الشرقية
Eastern- And Zagazig,  الزقازيق- الشرقية
Eastern- And wheat minya,  منيا القمح- الشرقية
Eastern- And canals,  القنايات- الشرقية
Eastern- And Abu Hammad,  أبو حماد- الشرقية
Eastern- And Abu Kabir,  أبو كبير- الشرقية
Menoufia-Bagour, الباجور- المنوفية 
Menoufia- And read out,  تلا- المنوفية 
Menoufia- And the seven blessings,  بركة السبع- المنوفية 
Menoufia- And Menouf,  منوف- المنوفية 
Menoufia- And Ashmoun,  أشمون- المنوفية 
Menoufia- Pillowcases,  السادات- المنوفية 
Menoufia- And the martyrs,  الشهداء- المنوفية 
Western-Drops, قطور- الغربية
Western- And Alsamth,  السنطة- الغربية
Western- And Tanta,  طنطا- الغربية
Western- And infidelity of uniforms,  كفر الزيات- الغربية
Western- And the great place,  المحلة الكبرى- الغربية
Western- And Samnoud,  سمنود- الغربية
Kafr El-Sheikh-Desook, سوق- كفر الشيخ
Kafr El-Sheikh- And the porter,  الحامول- كفر الشيخ
Kafr El-Sheikh- And Bella,  بيلا- كفر الشيخ
Kafr El-Sheikh- And Riyadh,  الرياض- كفر الشيخ
Kafr El-Sheikh- Miss it,  فوّه- كفر الشيخ
Kafr El-Sheikh- And Baltim,  بلطيم- كفر الشيخ
Kafr El-Sheikh- Baltim Resort,  مصيف بلطيم- كفر الشيخ
Kafr El-Sheikh- And infidel Sheikh,  كفر الشيخ- كفر الشيخ
Kafr El-Sheikh- Sir Salem,  سيدي سالم- كفر الشيخ
Kafr El-Sheikh- And Burullus Tower,  برج البرلس- كفر الشيخ
Dakahlia-Kurdish, الكردي- الدقهلية
Dakahlia- And Bani Ubaid,  بني عبيد- الدقهلية
Dakahlia- Status,  المنزلة- الدقهلية
Dakahlia- And Mansoura,  المنصورة- الدقهلية
Dakahlia- And aga,  أجا- الدقهلية
Dakahlia- Aesthetic,  الجمالية- الدقهلية
Dakahlia- And blemished,  طلخا- الدقهلية
Dakahlia- Dickens,  دكنرس- الدقهلية
Dakahlia- Monia victory,  منية النصر- الدقهلية
Dakahlia- And drinkers,  شربين- الدقهلية
Dakahlia- Belqas,  بلقاس- الدقهلية
Damietta-Kindergarten, الروضة- دمياط
Damietta- And cypress,  السرو- دمياط
Damietta- And blue,  الزرقا- دمياط
Damietta- And Kafr Saad,  كفر سعد- دمياط
Damietta- And the head of righteousness,  رأس البر- دمياط
Damietta- And Damietta,  دمياط- دمياط
Damietta- The manor of the constellation,  عزبة البرج- دمياط
Damietta- And New Damietta,  دمياط الجديدة- دمياط
Minya-The enemy, العدوة- المنيا
Minya- And Maghagha,  مغاغة- المنيا
Minya- And Abu Qurqas,  أبو قرقاص- المنيا
Minya- And the new Minya,  المنيا الجديدة- المنيا
Minya- And built a shrine,  بني مزار- المنيا
Minya- And wiggly,  ملّوي- المنيا
Fayoum-Snores, سنورس- الفيوم
Fayoum- And Tamiya,  طامية- الفيوم
Fayoum- It is covered,  إطسا- الفيوم
Fayoum- And New Fayoum,  الفيوم الجديدة- الفيوم
Fayoum- And Joseph the friend,  يوسف الصديق- الفيوم
